rank	user	item	score	rating
1	1	120	1	1.0
2	1	214	1	4.0
3	1	1114	1	
4	1	814	1	
5	1	1214	1	
6	1	1264	1	
7	1	1650	1	
8	1	1409	1	
9	1	207	1	5.0
10	1	1585	1	
1	2	120	1	
2	2	214	1	
3	2	1114	1	
4	2	814	1	
5	2	1214	1	
6	2	1264	1	
7	2	1650	1	
8	2	1409	1	
9	2	207	1	
10	2	1585	1	
1	3	120	1	
2	3	214	1	
3	3	1114	1	
4	3	814	1	
5	3	1214	1	
6	3	1264	1	
7	3	1650	1	
8	3	1409	1	
9	3	207	1	
10	3	1585	1	
1	4	1659	1	
2	4	222	1	
3	4	1478	1	
4	4	151	1	
5	4	1011	1	
6	4	842	1	
7	4	774	1	
8	4	598	1	
9	4	695	1	
10	4	972	1	
1	5	730	1	
2	5	1235	1	
3	5	900	1	
4	5	718	1	
5	5	486	1	
6	5	41	1	
7	5	638	1	
8	5	1225	1	
9	5	343	1	
10	5	770	1	
1	6	1243	1	
2	6	1152	1	
3	6	18	1	
4	6	333	1	
5	6	976	1	
6	6	935	1	
7	6	389	1	
8	6	908	1	
9	6	253	1	
10	6	1612	1	
1	7	1659	1	
2	7	222	1	
3	7	1478	1	
4	7	151	1	4.0
5	7	1011	1	
6	7	842	1	
7	7	774	1	
8	7	598	1	3.0
9	7	695	1	
10	7	972	1	
1	8	730	1	
2	8	1235	1	
3	8	900	1	
4	8	718	1	
5	8	486	1	
6	8	41	1	
7	8	638	1	
8	8	1225	1	
9	8	343	1	
10	8	770	1	
1	9	15	1	
2	9	21	1	
3	9	630	1	
4	9	1002	1	
5	9	1153	1	
6	9	217	1	
7	9	964	1	
8	9	1571	1	
9	9	784	1	
10	9	225	1	
1	10	1659	1	
2	10	222	1	
3	10	1478	1	
4	10	151	1	
5	10	1011	1	
6	10	842	1	
7	10	774	1	
8	10	598	1	
9	10	695	1	3.0
10	10	972	1	
1	11	1243	1	
2	11	1152	1	
3	11	18	1	
4	11	333	1	
5	11	976	1	
6	11	935	1	
7	11	389	1	
8	11	908	1	
9	11	253	1	
10	11	1612	1	
1	12	437	1	
2	12	310	1	
3	12	930	1	
4	12	943	1	
5	12	1064	1	
6	12	1380	1	
7	12	822	1	
8	12	1221	1	
9	12	1261	1	
10	12	1175	1	
1	13	730	1	
2	13	1235	1	
3	13	900	1	5.0
4	13	718	1	
5	13	486	1	
6	13	41	1	
7	13	638	1	3.0
8	13	1225	1	
9	13	343	1	1.0
10	13	770	1	4.0
1	14	15	1	4.0
2	14	21	1	
3	14	630	1	
4	14	1002	1	
5	14	1153	1	
6	14	217	1	
7	14	964	1	
8	14	1571	1	
9	14	784	1	
10	14	225	1	
1	15	408	1	
2	15	810	1	
3	15	106	1	
4	15	848	1	
5	15	507	1	
6	15	153	1	
7	15	16	1	
8	15	1549	1	
9	15	237	1	3.0
10	15	957	1	
1	16	1243	1	
2	16	1152	1	
3	16	18	1	
4	16	333	1	
5	16	976	1	
6	16	935	1	
7	16	389	1	
8	16	908	1	
9	16	253	1	
10	16	1612	1	
1	17	437	1	
2	17	310	1	
3	17	930	1	
4	17	943	1	
5	17	1064	1	
6	17	1380	1	
7	17	822	1	
8	17	1221	1	
9	17	1261	1	
10	17	1175	1	
1	18	631	1	5.0
2	18	192	1	
3	18	1131	1	
4	18	928	1	
5	18	1106	1	
6	18	866	1	
7	18	969	1	3.0
8	18	782	1	
9	18	1428	1	
10	18	665	1	
1	19	408	1	
2	19	810	1	
3	19	106	1	
4	19	848	1	
5	19	507	1	
6	19	153	1	4.0
7	19	16	1	
8	19	1549	1	
9	19	237	1	
10	19	957	1	
1	20	654	1	
2	20	716	1	
3	20	372	1	
4	20	602	1	
5	20	561	1	
6	20	1270	1	
7	20	1556	1	
8	20	1181	1	
9	20	563	1	
10	20	573	1	
1	21	15	1	4.0
2	21	21	1	
3	21	630	1	
4	21	1002	1	
5	21	1153	1	
6	21	217	1	3.0
7	21	964	1	
8	21	1571	1	
9	21	784	1	
10	21	225	1	
1	22	631	1	
2	22	192	1	
3	22	1131	1	
4	22	928	1	
5	22	1106	1	
6	22	866	1	
7	22	969	1	
8	22	782	1	
9	22	1428	1	
10	22	665	1	1.0
1	23	1211	1	
2	23	1371	1	
3	23	1127	1	
4	23	285	1	
5	23	185	1	4.0
6	23	440	1	
7	23	913	1	
8	23	4	1	
9	23	649	1	
10	23	1516	1	
1	24	437	1	
2	24	310	1	
3	24	930	1	
4	24	943	1	
5	24	1064	1	
6	24	1380	1	
7	24	822	1	
8	24	1221	1	
9	24	1261	1	
10	24	1175	1	
1	25	654	1	
2	25	716	1	
3	25	372	1	
4	25	602	1	
5	25	561	1	
6	25	1270	1	
7	25	1556	1	
8	25	1181	1	
9	25	563	1	
10	25	573	1	
1	26	1265	1	
2	26	286	1	3.0
3	26	1295	1	
4	26	238	1	
5	26	1205	1	
6	26	437	1	
7	26	1113	1	
8	26	20	1	
9	26	627	1	
10	26	280	1	
1	27	408	1	
2	27	810	1	
3	27	106	1	
4	27	848	1	
5	27	507	1	
6	27	153	1	
7	27	16	1	
8	27	1549	1	
9	27	237	1	
10	27	957	1	
1	28	1211	1	
2	28	1371	1	
3	28	1127	1	
4	28	285	1	
5	28	185	1	5.0
6	28	440	1	
7	28	913	1	
8	28	4	1	
9	28	649	1	
10	28	1516	1	
1	29	385	1	
2	29	1214	1	
3	29	576	1	
4	29	1152	1	
5	29	51	1	
6	29	162	1	
7	29	1203	1	
8	29	1592	1	
9	29	61	1	
10	29	559	1	
1	30	631	1	
2	30	192	1	
3	30	1131	1	
4	30	928	1	
5	30	1106	1	
6	30	866	1	
7	30	969	1	
8	30	782	1	
9	30	1428	1	
10	30	665	1	
1	31	1265	1	
2	31	286	1	
3	31	1295	1	
4	31	238	1	
5	31	1205	1	
6	31	437	1	
7	31	1113	1	
8	31	20	1	
9	31	627	1	
10	31	280	1	
1	32	531	1	
2	32	1513	1	
3	32	769	1	
4	32	523	1	
5	32	908	1	
6	32	1638	1	
7	32	837	1	
8	32	1547	1	
9	32	135	1	
10	32	474	1	
1	33	654	1	
2	33	716	1	
3	33	372	1	
4	33	602	1	
5	33	561	1	
6	33	1270	1	
7	33	1556	1	
8	33	1181	1	
9	33	563	1	
10	33	573	1	
1	34	385	1	
2	34	1214	1	
3	34	576	1	
4	34	1152	1	
5	34	51	1	
6	34	162	1	
7	34	1203	1	
8	34	1592	1	
9	34	61	1	
10	34	559	1	
1	35	1553	1	
2	35	18	1	
3	35	1543	1	
4	35	76	1	
5	35	909	1	
6	35	194	1	
7	35	297	1	
8	35	126	1	
9	35	1246	1	
10	35	746	1	
1	36	1211	1	
2	36	1371	1	
3	36	1127	1	
4	36	285	1	
5	36	185	1	
6	36	440	1	
7	36	913	1	
8	36	4	1	
9	36	649	1	
10	36	1516	1	
1	37	531	1	
2	37	1513	1	
3	37	769	1	
4	37	523	1	
5	37	908	1	
6	37	1638	1	
7	37	837	1	
8	37	1547	1	
9	37	135	1	
10	37	474	1	
1	38	1500	1	
2	38	877	1	
3	38	23	1	
4	38	255	1	
5	38	1287	1	
6	38	1624	1	
7	38	881	1	
8	38	35	1	5.0
9	38	1431	1	
10	38	875	1	
1	39	1265	1	
2	39	286	1	
3	39	1295	1	
4	39	238	1	
5	39	1205	1	
6	39	437	1	
7	39	1113	1	
8	39	20	1	
9	39	627	1	
10	39	280	1	
1	40	1553	1	
2	40	18	1	
3	40	1543	1	
4	40	76	1	
5	40	909	1	
6	40	194	1	
7	40	297	1	
8	40	126	1	
9	40	1246	1	
10	40	746	1	
1	41	657	1	
2	41	1398	1	
3	41	1301	1	
4	41	432	1	
5	41	240	1	
6	41	1088	1	
7	41	22	1	
8	41	39	1	
9	41	1009	1	
10	41	824	1	
1	42	385	1	5.0
2	42	1214	1	
3	42	576	1	
4	42	1152	1	
5	42	51	1	
6	42	162	1	
7	42	1203	1	
8	42	1592	1	
9	42	61	1	
10	42	559	1	2.0
1	43	1500	1	
2	43	877	1	
3	43	23	1	
4	43	255	1	
5	43	1287	1	
6	43	1624	1	
7	43	881	1	
8	43	35	1	
9	43	1431	1	
10	43	875	1	
1	44	821	1	
2	44	215	1	
3	44	111	1	
4	44	1558	1	
5	44	493	1	
6	44	878	1	
7	44	79	1	
8	44	1139	1	
9	44	377	1	
10	44	1357	1	
1	45	531	1	
2	45	1513	1	
3	45	769	1	
4	45	523	1	
5	45	908	1	
6	45	1638	1	
7	45	837	1	
8	45	1547	1	
9	45	135	1	
10	45	474	1	
1	46	657	1	
2	46	1398	1	
3	46	1301	1	
4	46	432	1	
5	46	240	1	
6	46	1088	1	
7	46	22	1	
8	46	39	1	
9	46	1009	1	
10	46	824	1	
1	47	1458	1	
2	47	1558	1	
3	47	591	1	
4	47	1682	1	
5	47	406	1	
6	47	1372	1	
7	47	1503	1	
8	47	468	1	
9	47	1602	1	
10	47	71	1	
1	48	1553	1	
2	48	18	1	
3	48	1543	1	
4	48	76	1	
5	48	909	1	
6	48	194	1	4.0
7	48	297	1	
8	48	126	1	
9	48	1246	1	
10	48	746	1	
1	49	821	1	1.0
2	49	215	1	
3	49	111	1	2.0
4	49	1558	1	
5	49	493	1	
6	49	878	1	2.0
7	49	79	1	
8	49	1139	1	
9	49	377	1	
10	49	1357	1	
1	50	398	1	
2	50	206	1	
3	50	742	1	
4	50	1566	1	
5	50	1092	1	
6	50	737	1	
7	50	972	1	
8	50	1317	1	
9	50	1030	1	
10	50	650	1	
1	51	1500	1	
2	51	877	1	
3	51	23	1	
4	51	255	1	
5	51	1287	1	
6	51	1624	1	
7	51	881	1	
8	51	35	1	
9	51	1431	1	
10	51	875	1	
1	52	1458	1	
2	52	1558	1	
3	52	591	1	
4	52	1682	1	
5	52	406	1	
6	52	1372	1	
7	52	1503	1	
8	52	468	1	
9	52	1602	1	
10	52	71	1	
1	53	1628	1	
2	53	835	1	
3	53	554	1	
4	53	55	1	
5	53	791	1	
6	53	939	1	
7	53	1669	1	
8	53	910	1	
9	53	880	1	
10	53	1301	1	
1	54	657	1	
2	54	1398	1	
3	54	1301	1	
4	54	432	1	
5	54	240	1	4.0
6	54	1088	1	3.0
7	54	22	1	
8	54	39	1	
9	54	1009	1	
10	54	824	1	
1	55	398	1	
2	55	206	1	
3	55	742	1	
4	55	1566	1	
5	55	1092	1	
6	55	737	1	
7	55	972	1	
8	55	1317	1	
9	55	1030	1	
10	55	650	1	
1	56	633	1	
2	56	1453	1	
3	56	445	1	
4	56	678	1	4.0
5	56	1246	1	
6	56	567	1	
7	56	183	1	5.0
8	56	420	1	
9	56	555	1	
10	56	158	1	3.0
1	57	821	1	
2	57	215	1	
3	57	111	1	4.0
4	57	1558	1	
5	57	493	1	
6	57	878	1	
7	57	79	1	5.0
8	57	1139	1	
9	57	377	1	
10	57	1357	1	
1	58	1628	1	
2	58	835	1	
3	58	554	1	
4	58	55	1	
5	58	791	1	
6	58	939	1	
7	58	1669	1	
8	58	910	1	
9	58	880	1	
10	58	1301	1	
1	59	1130	1	
2	59	263	1	
3	59	1581	1	
4	59	1347	1	
5	59	827	1	
6	59	791	1	
7	59	169	1	4.0
8	59	1079	1	
9	59	466	1	4.0
10	59	1162	1	
1	60	1458	1	
2	60	1558	1	
3	60	591	1	
4	60	1682	1	
5	60	406	1	
6	60	1372	1	
7	60	1503	1	
8	60	468	1	
9	60	1602	1	
10	60	71	1	3.0
1	61	633	1	
2	61	1453	1	
3	61	445	1	
4	61	678	1	3.0
5	61	1246	1	
6	61	567	1	
7	61	183	1	
8	61	420	1	
9	61	555	1	
10	61	158	1	
1	62	706	1	
2	62	1488	1	
3	62	806	1	
4	62	1576	1	
5	62	677	1	
6	62	463	1	4.0
7	62	1609	1	
8	62	572	1	
9	62	1437	1	
10	62	1623	1	
1	63	398	1	
2	63	206	1	
3	63	742	1	
4	63	1566	1	
5	63	1092	1	
6	63	737	1	
7	63	972	1	
8	63	1317	1	
9	63	1030	1	
10	63	650	1	
1	64	1130	1	
2	64	263	1	
3	64	1581	1	
4	64	1347	1	
5	64	827	1	
6	64	791	1	
7	64	169	1	
8	64	1079	1	
9	64	466	1	
10	64	1162	1	
1	65	28	1	4.0
2	65	705	1	
3	65	175	1	
4	65	356	1	5.0
5	65	1040	1	
6	65	527	1	
7	65	942	1	
8	65	1308	1	
9	65	822	1	
10	65	547	1	
1	66	1628	1	
2	66	835	1	
3	66	554	1	
4	66	55	1	
5	66	791	1	
6	66	939	1	
7	66	1669	1	
8	66	910	1	
9	66	880	1	
10	66	1301	1	
1	67	706	1	
2	67	1488	1	
3	67	806	1	
4	67	1576	1	
5	67	677	1	
6	67	463	1	
7	67	1609	1	
8	67	572	1	
9	67	1437	1	
10	67	1623	1	
1	68	764	1	
