rank	user	item	score	rating
1	1	516	1	
2	1	822	1	
3	1	1354	1	
4	1	1288	1	
5	1	875	1	
6	1	1379	1	
7	1	1644	1	
8	1	67	1	3.0
9	1	1070	1	
10	1	275	1	
1	2	516	1	
2	2	822	1	
3	2	1354	1	
4	2	1288	1	
5	2	875	1	
6	2	1379	1	
7	2	1644	1	
8	2	67	1	
9	2	1070	1	
10	2	275	1	5.0
1	3	516	1	
2	3	822	1	
3	3	1354	1	
4	3	1288	1	
5	3	875	1	
6	3	1379	1	
7	3	1644	1	
8	3	67	1	
9	3	1070	1	
10	3	275	1	
1	4	167	1	
2	4	840	1	
3	4	665	1	
4	4	1002	1	
5	4	759	1	
6	4	1673	1	
7	4	195	1	
8	4	1163	1	
9	4	476	1	
10	4	1343	1	
1	5	167	1	2.0
2	5	840	1	
3	5	665	1	
4	5	1002	1	
5	5	759	1	
6	5	1673	1	
7	5	195	1	
8	5	1163	1	
9	5	476	1	
10	5	1343	1	
1	6	1497	1	
2	6	1359	1	
3	6	81	1	4.0
4	6	388	1	
5	6	510	1	4.0
6	6	1071	1	
7	6	688	1	
8	6	164	1	
9	6	1380	1	
10	6	1582	1	
1	7	1497	1	
2	7	1359	1	
3	7	81	1	5.0
4	7	388	1	
5	7	510	1	5.0
6	7	1071	1	
7	7	688	1	
8	7	164	1	5.0
9	7	1380	1	
10	7	1582	1	
1	8	417	1	
2	8	1252	1	
3	8	1020	1	
4	8	905	1	
5	8	1072	1	
6	8	90	1	
7	8	891	1	
8	8	975	1	
9	8	1016	1	
10	8	184	1	
1	9	417	1	
2	9	1252	1	
3	9	1020	1	
4	9	905	1	
5	9	1072	1	
6	9	90	1	
7	9	891	1	
8	9	975	1	
9	9	1016	1	
10	9	184	1	
1	10	137	1	4.0
2	10	1625	1	
3	10	910	1	
4	10	172	1	
5	10	120	1	
6	10	1636	1	
7	10	299	1	
8	10	557	1	
9	10	1517	1	
10	10	171	1	
1	11	137	1	
2	11	1625	1	
3	11	910	1	
4	11	172	1	
5	11	120	1	2.0
6	11	1636	1	
7	11	299	1	
8	11	557	1	
9	11	1517	1	
10	11	171	1	
1	12	673	1	
2	12	932	1	
3	12	442	1	
4	12	422	1	
5	12	1374	1	
6	12	495	1	
7	12	1113	1	
8	12	832	1	
9	12	753	1	5.0
10	12	657	1	
1	13	673	1	3.0
2	13	932	1	
3	13	442	1	1.0
4	13	422	1	
5	13	1374	1	
6	13	495	1	
7	13	1113	1	
8	13	832	1	4.0
9	13	753	1	
10	13	657	1	4.0
1	14	1176	1	
2	14	233	1	
3	14	822	1	
4	14	1309	1	
5	14	848	1	
6	14	65	1	
7	14	400	1	
8	14	1366	1	
9	14	1585	1	
10	14	648	1	
1	15	1176	1	
2	15	233	1	
3	15	822	1	
4	15	1309	1	
5	15	848	1	
6	15	65	1	
7	15	400	1	
8	15	1366	1	
9	15	1585	1	
10	15	648	1	
1	16	244	1	
2	16	81	1	
3	16	912	1	
4	16	974	1	
5	16	919	1	
6	16	916	1	
7	16	773	1	
8	16	1130	1	
9	16	883	1	
10	16	756	1	
1	17	244	1	
2	17	81	1	
3	17	912	1	
4	17	974	1	
5	17	919	1	4.0
6	17	916	1	
7	17	773	1	
8	17	1130	1	
9	17	883	1	
10	17	756	1	
1	18	824	1	
2	18	1061	1	
3	18	1608	1	
4	18	1229	1	
5	18	1022	1	
6	18	693	1	
7	18	882	1	
8	18	1424	1	
9	18	1094	1	
10	18	991	1	
1	19	824	1	
2	19	1061	1	
3	19	1608	1	
4	19	1229	1	
5	19	1022	1	
6	19	693	1	
7	19	882	1	
8	19	1424	1	
9	19	1094	1	
10	19	991	1	
1	20	1587	1	
2	20	1239	1	
3	20	870	1	
4	20	860	1	
5	20	508	1	
6	20	1158	1	
7	20	872	1	
8	20	1627	1	
9	20	530	1	
10	20	1324	1	
1	21	1012	1	
2	21	991	1	2.0
3	21	7	1	5.0
4	21	199	1	
5	21	1510	1	
6	21	1394	1	
7	21	667	1	
8	21	1541	1	
9	21	1655	1	
10	21	669	1	1.0
1	22	1587	1	
2	22	1239	1	
3	22	870	1	
4	22	860	1	
5	22	508	1	
6	22	1158	1	
7	22	872	1	
8	22	1627	1	
9	22	530	1	
10	22	1324	1	
1	23	1012	1	
2	23	991	1	
3	23	7	1	4.0
4	23	199	1	
5	23	1510	1	
6	23	1394	1	
7	23	667	1	
8	23	1541	1	
9	23	1655	1	
10	23	669	1	
1	24	766	1	
2	24	749	1	
3	24	709	1	
4	24	1443	1	
5	24	1287	1	
6	24	1094	1	
7	24	362	1	
8	24	251	1	
9	24	953	1	
10	24	138	1	
1	25	167	1	
2	25	840	1	
3	25	665	1	
4	25	1002	1	
5	25	759	1	
6	25	1673	1	
7	25	195	1	4.0
8	25	1163	1	
9	25	476	1	
10	25	1343	1	
1	26	766	1	
2	26	749	1	
3	26	709	1	
4	26	1443	1	
5	26	1287	1	
6	26	1094	1	
7	26	362	1	
8	26	251	1	
9	26	953	1	
10	26	138	1	
1	27	293	1	
2	27	368	1	
3	27	319	1	
4	27	3	1	
5	27	1014	1	
6	27	24	1	
7	27	1202	1	
8	27	159	1	
9	27	1239	1	
10	27	49	1	
1	28	293	1	
2	28	368	1	
3	28	319	1	
4	28	3	1	
5	28	1014	1	
6	28	24	1	
7	28	1202	1	
8	28	159	1	
9	28	1239	1	
10	28	49	1	
1	29	313	1	
2	29	1028	1	
3	29	118	1	
4	29	746	1	
5	29	1029	1	
6	29	1342	1	
7	29	814	1	
8	29	1148	1	
9	29	251	1	
10	29	1668	1	
1	30	1497	1	
2	30	1359	1	
3	30	81	1	
4	30	388	1	
5	30	510	1	
6	30	1071	1	
7	30	688	1	3.0
8	30	164	1	4.0
9	30	1380	1	
10	30	1582	1	
1	31	313	1	
2	31	1028	1	
3	31	118	1	
4	31	746	1	
5	31	1029	1	
6	31	1342	1	
7	31	814	1	
8	31	1148	1	
9	31	251	1	
10	31	1668	1	
1	32	247	1	
2	32	746	1	
3	32	1029	1	
4	32	1339	1	
5	32	469	1	
6	32	462	1	
7	32	1411	1	
8	32	373	1	
9	32	1533	1	
10	32	735	1	
1	33	417	1	
2	33	1252	1	
3	33	1020	1	
4	33	905	1	
5	33	1072	1	
6	33	90	1	
7	33	891	1	
8	33	975	1	
9	33	1016	1	
10	33	184	1	
1	34	247	1	
2	34	746	1	
3	34	1029	1	
4	34	1339	1	
5	34	469	1	
6	34	462	1	
7	34	1411	1	
8	34	373	1	
9	34	1533	1	
10	34	735	1	
1	35	289	1	
2	35	1405	1	
3	35	538	1	
4	35	1274	1	
5	35	1612	1	
6	35	981	1	
7	35	602	1	
8	35	970	1	
9	35	1494	1	
10	35	315	1	
1	36	137	1	
2	36	1625	1	
3	36	910	1	
4	36	172	1	
5	36	120	1	
6	36	1636	1	
7	36	299	1	
8	36	557	1	
9	36	1517	1	
10	36	171	1	
1	37	807	1	
2	37	710	1	
3	37	1289	1	
4	37	119	1	
5	37	1092	1	
6	37	923	1	
7	37	1184	1	
8	37	525	1	
9	37	948	1	4.0
10	37	1316	1	
1	38	289	1	
2	38	1405	1	
3	38	538	1	
4	38	1274	1	
5	38	1612	1	
6	38	981	1	
7	38	602	1	
8	38	970	1	
9	38	1494	1	
10	38	315	1	
1	39	673	1	
2	39	932	1	
3	39	442	1	
4	39	422	1	
5	39	1374	1	
6	39	495	1	
7	39	1113	1	
8	39	832	1	
9	39	753	1	
10	39	657	1	
1	40	229	1	
2	40	1422	1	
3	40	721	1	
4	40	850	1	
5	40	1086	1	
6	40	1247	1	
7	40	1614	1	
8	40	957	1	
9	40	472	1	
10	40	516	1	
1	41	807	1	
2	41	710	1	
3	41	1289	1	
4	41	119	1	
5	41	1092	1	
6	41	923	1	
7	41	1184	1	
8	41	525	1	
9	41	948	1	
10	41	1316	1	
1	42	1176	1	
2	42	233	1	
3	42	822	1	
4	42	1309	1	
5	42	848	1	
6	42	65	1	
7	42	400	1	
8	42	1366	1	
9	42	1585	1	
10	42	648	1	
1	43	1358	1	
2	43	545	1	
3	43	1551	1	
4	43	1453	1	
5	43	1197	1	
6	43	1154	1	
7	43	946	1	4.0
8	43	436	1	
9	43	918	1	
10	43	624	1	
1	44	229	1	3.0
2	44	1422	1	
3	44	721	1	
4	44	850	1	
5	44	1086	1	
6	44	1247	1	
7	44	1614	1	
8	44	957	1	
9	44	472	1	
10	44	516	1	
1	45	244	1	
2	45	81	1	
3	45	912	1	
4	45	974	1	
5	45	919	1	
6	45	916	1	
7	45	773	1	
8	45	1130	1	
9	45	883	1	
10	45	756	1	2.0
1	46	592	1	
2	46	287	1	
3	46	1358	1	
4	46	423	1	
5	46	1507	1	
6	46	1343	1	
7	46	1433	1	
8	46	1365	1	
9	46	1211	1	
10	46	523	1	
1	47	1358	1	
2	47	545	1	
3	47	1551	1	
4	47	1453	1	
5	47	1197	1	
6	47	1154	1	
7	47	946	1	
8	47	436	1	
9	47	918	1	
10	47	624	1	
1	48	824	1	
2	48	1061	1	
3	48	1608	1	
4	48	1229	1	
5	48	1022	1	
6	48	693	1	
7	48	882	1	
8	48	1424	1	
9	48	1094	1	
10	48	991	1	
1	49	423	1	2.0
2	49	1579	1	
3	49	1515	1	
4	49	464	1	
5	49	1620	1	
6	49	1565	1	
7	49	1616	1	
8	49	1652	1	
9	49	650	1	
10	49	990	1	
1	50	1587	1	
2	50	1239	1	
3	50	870	1	
4	50	860	1	
5	50	508	1	5.0
6	50	1158	1	
7	50	872	1	
8	50	1627	1	
9	50	530	1	
10	50	1324	1	
1	51	592	1	
2	51	287	1	
3	51	1358	1	
4	51	423	1	
5	51	1507	1	
6	51	1343	1	
7	51	1433	1	
8	51	1365	1	
9	51	1211	1	
10	51	523	1	
1	52	1131	1	
2	52	277	1	5.0
3	52	1233	1	
4	52	1534	1	
5	52	1007	1	
6	52	1588	1	
7	52	907	1	
8	52	47	1	
9	52	748	1	4.0
10	52	1447	1	
1	53	1012	1	
2	53	991	1	
3	53	7	1	3.0
4	53	199	1	5.0
5	53	1510	1	
6	53	1394	1	
7	53	667	1	
8	53	1541	1	
9	53	1655	1	
10	53	669	1	
1	54	392	1	
2	54	1450	1	
3	54	1419	1	
4	54	35	1	
5	54	901	1	
6	54	320	1	
7	54	122	1	
8	54	1396	1	
9	54	1160	1	
10	54	1116	1	
1	55	766	1	
2	55	749	1	
3	55	709	1	
4	55	1443	1	
5	55	1287	1	
6	55	1094	1	
7	55	362	1	
8	55	251	1	
9	55	953	1	
10	55	138	1	
1	56	423	1	5.0
2	56	1579	1	
3	56	1515	1	
4	56	464	1	
5	56	1620	1	
6	56	1565	1	
7	56	1616	1	
8	56	1652	1	
9	56	650	1	
10	56	990	1	
1	57	736	1	
2	57	567	1	
3	57	1293	1	
4	57	286	1	
5	57	664	1	
6	57	8	1	4.0
7	57	1190	1	
8	57	333	1	
9	57	199	1	5.0
10	57	38	1	
1	58	1131	1	
2	58	277	1	
3	58	1233	1	
4	58	1534	1	
5	58	1007	1	
6	58	1588	1	
7	58	907	1	
8	58	47	1	
9	58	748	1	
10	58	1447	1	
1	59	293	1	
2	59	368	1	
3	59	319	1	
4	59	3	1	4.0
5	59	1014	1	
6	59	24	1	4.0
7	59	1202	1	
8	59	159	1	
9	59	1239	1	
10	59	49	1	
1	60	1080	1	
2	60	920	1	
3	60	1385	1	
4	60	154	1	
5	60	264	1	
6	60	954	1	
7	60	81	1	
8	60	447	1	
9	60	960	1	
10	60	996	1	
1	61	313	1	
2	61	1028	1	
3	61	118	1	
4	61	746	1	
5	61	1029	1	
6	61	1342	1	
7	61	814	1	
8	61	1148	1	
9	61	251	1	
10	61	1668	1	
1	62	1305	1	
2	62	427	1	
3	62	1078	1	
4	62	497	1	
5	62	253	1	
6	62	1343	1	
7	62	1681	1	
8	62	42	1	
9	62	197	1	
10	62	467	1	
1	63	392	1	
2	63	1450	1	
3	63	1419	1	
4	63	35	1	
5	63	901	1	
6	63	320	1	
7	63	122	1	
8	63	1396	1	
9	63	1160	1	
10	63	1116	1	
1	64	247	1	
2	64	746	1	5.0
3	64	1029	1	
4	64	1339	1	
5	64	469	1	
6	64	462	1	
7	64	1411	1	
8	64	373	1	
9	64	1533	1	
10	64	735	1	
1	65	1463	1	
2	65	1456	1	
3	65	583	1	
4	65	1439	1	
5	65	1152	1	
6	65	282	1	
7	65	562	1	
8	65	337	1	
9	65	984	1	
10	65	76	1	
1	66	736	1	
2	66	567	1	
3	66	1293	1	
4	66	286	1	1.0
5	66	664	1	
6	66	8	1	
7	66	1190	1	
8	66	333	1	
9	66	199	1	
10	66	38	1	
1	67	289	1	
2	67	1405	1	
3	67	538	1	
4	67	1274	1	
5	67	1612	1	
6	67	981	1	
7	67	602	1	
8	67	970	1	
9	67	1494	1	
10	67	315	1	
1	68	1022	1	
2	68	1328	1	
3	68	317	1	
4	68	536	1	
5	68	961	1	
6	68	530	1	
7	68	904	1	
8	68	271	1	
9	68	1069	1	
10	68	601	1	
1	69	1080	1	
2	69	920	1	
3	69	1385	1	
4	69	154	1	
5	69	264	1	
6	69	954	1	
7	69	81	1	
8	69	447	1	
9	69	960	1	
10	69	996	1	
1	70	807	1	
2	70	710	1	
3	70	1289	1	
4	70	119	1	
5	70	1092	1	
6	70	923	1	
7	70	1184	1	
8	70	525	1	
9	70	948	1	
10	70	1316	1	
1	71	1628	1	
2	71	1206	1	
3	71	65	1	5.0
4	71	579	1	
5	71	363	1	
6	71	573	1	
7	71	1322	1	
8	71	504	1	
9	71	673	1	
10	71	1345	1	
1	72	1305	1	
2	72	427	1	5.0
3	72	1078	1	
4	72	497	1	
5	72	253	1	
6	72	1343	1	
7	72	1681	1	
8	72	42	1	
9	72	197	1	5.0
10	72	467	1	
1	73	229	1	
2	73	1422	1	
3	73	721	1	
4	73	850	1	
5	73	1086	1	
6	73	1247	1	
7	73	1614	1	
8	73	957	1	
9	73	472	1	
10	73	516	1	
1	74	1595	1	
2	74	505	1	
3	74	905	1	
4	74	826	1	
5	74	258	1	4.0
6	74	235	1	
7	74	1503	1	
8	74	1137	1	
9	74	1037	1	
10	74	38	1	
1	75	1463	1	
2	75	1456	1	
3	75	583	1	
4	75	1439	1	
5	75	1152	1	1.0
6	75	282	1	
7	75	562	1	
8	75	337	1	
9	75	984	1	
10	75	76	1	
1	76	1358	1	
2	76	545	1	
3	76	1551	1	
4	76	1453	1	
5	76	1197	1	
6	76	1154	1	5.0
7	76	946	1	
8	76	436	1	
9	76	918	1	
10	76	624	1	
1	77	203	1	
2	77	515	1	
3	77	286	1	
4	77	445	1	
5	77	1293	1	
6	77	1273	1	
7	77	441	1	
8	77	1206	1	
9	77	132	1	3.0
10	77	1176	1	
1	78	1022	1	
2	78	1328	1	
3	78	317	1	
4	78	536	1	
5	78	961	1	
6	78	530	1	
7	78	904	1	
8	78	271	1	
9	78	1069	1	
10	78	601	1	
1	79	592	1	
2	79	287	1	
3	79	1358	1	
4	79	423	1	
5	79	1507	1	
6	79	1343	1	
7	79	1433	1	
8	79	1365	1	
9	79	1211	1	
10	79	523	1	
1	80	331	1	
2	80	1140	1	
3	80	1502	1	
4	80	456	1	
5	80	680	1	
6	80	538	1	
7	80	1111	1	
