rank	user	item	score	rating
1	1	929	1	
2	1	27	1	2.0
3	1	1442	1	
4	1	754	1	
5	1	1169	1	
6	1	1419	1	
7	1	670	1	
8	1	1199	1	
9	1	295	1	
10	1	1020	1	
1	2	929	1	
2	2	27	1	
3	2	1442	1	
4	2	754	1	
5	2	1169	1	
6	2	1419	1	
7	2	670	1	
8	2	1199	1	
9	2	295	1	4.0
10	2	1020	1	
1	3	929	1	
2	3	27	1	
3	3	1442	1	
4	3	754	1	
5	3	1169	1	
6	3	1419	1	
7	3	670	1	
8	3	1199	1	
9	3	295	1	
10	3	1020	1	
1	4	643	1	
2	4	1437	1	
3	4	89	1	
4	4	749	1	
5	4	898	1	
6	4	335	1	
7	4	421	1	
8	4	955	1	
9	4	969	1	
10	4	1600	1	
1	5	643	1	
2	5	1437	1	
3	5	89	1	5.0
4	5	749	1	
5	5	898	1	
6	5	335	1	
7	5	421	1	1.0
8	5	955	1	
9	5	969	1	
10	5	1600	1	
1	6	850	1	
2	6	1444	1	
3	6	1487	1	
4	6	394	1	
5	6	1400	1	
6	6	300	1	
7	6	1640	1	
8	6	65	1	
9	6	208	1	4.0
10	6	984	1	
1	7	643	1	4.0
2	7	1437	1	
3	7	89	1	5.0
4	7	749	1	
5	7	898	1	
6	7	335	1	
7	7	421	1	3.0
8	7	955	1	
9	7	969	1	
10	7	1600	1	
1	8	850	1	
2	8	1444	1	
3	8	1487	1	
4	8	394	1	
5	8	1400	1	
6	8	300	1	
7	8	1640	1	
8	8	65	1	
9	8	208	1	
10	8	984	1	
1	9	1186	1	
2	9	1438	1	
3	9	321	1	
4	9	929	1	
5	9	391	1	
6	9	4	1	
7	9	440	1	
8	9	187	1	
9	9	1096	1	
10	9	673	1	
1	10	850	1	
2	10	1444	1	
3	10	1487	1	
4	10	394	1	
5	10	1400	1	
6	10	300	1	
7	10	1640	1	
8	10	65	1	
9	10	208	1	
10	10	984	1	
1	11	966	1	
2	11	228	1	3.0
3	11	303	1	
4	11	1184	1	
5	11	331	1	
6	11	1239	1	
7	11	1496	1	
8	11	871	1	
9	11	1638	1	
10	11	1348	1	
1	12	1186	1	
2	12	1438	1	
3	12	321	1	
4	12	929	1	
5	12	391	1	
6	12	4	1	5.0
7	12	440	1	
8	12	187	1	
9	12	1096	1	
10	12	673	1	
1	13	1186	1	
2	13	1438	1	
3	13	321	1	2.0
4	13	929	1	
5	13	391	1	3.0
6	13	4	1	5.0
7	13	440	1	1.0
8	13	187	1	5.0
9	13	1096	1	
10	13	673	1	3.0
1	14	87	1	
2	14	1144	1	
3	14	1465	1	
4	14	389	1	
5	14	1208	1	
6	14	93	1	3.0
7	14	204	1	5.0
8	14	597	1	
9	14	1032	1	
10	14	1357	1	
1	15	966	1	
2	15	228	1	
3	15	303	1	3.0
4	15	1184	1	
5	15	331	1	3.0
6	15	1239	1	
7	15	1496	1	
8	15	871	1	
9	15	1638	1	
10	15	1348	1	
1	16	966	1	
2	16	228	1	5.0
3	16	303	1	
4	16	1184	1	
5	16	331	1	
