27766429t32184	9593	6.0
28243020t32920	13075	5.0
59015228t108724	15128	39.0
12910819t13069	5462	17.0
56494643t100053	12	4.0
35432812t45472	3145	32.0
4640528t4152	40530	1.0
56212168t99184	4005	28.0
25491897t28871	1014	344.0
42067058t58629	12336	6.0
53236173t89817	5674	3.0
14764432t15196	97619	9.0
43106033t61110	353	153.0
6277317t5788	52248	4.0
28699178t33587	10017	1.0
20738687t22380	15951	25.0
25898225t29418	418869	2.0
37340701t48988	177529	1.0
57431686t103189	132071	637.0
56368220t99665	28078	26.0
8172545t7832	21844	10.0
16821419t17570	34182	1.0
1083720t881	9402	3.0
19973242t21397	1652	1.0
56568213t100278	46829	32.0
16967884t17748	1521	1.0
10771405t10732	2258	19.0
9689647t9511	3625	11.0
45338244t66490	57928	2.0
59462487t110535	11738	8.0
45487590t66883	313	666.0
24806756t27932	306042	16.0
50501583t81535	15993	3.0
30696700t36778	480	1.0
21832298t23820	349279	1.0
28882411t33878	1357	2.0
57905107t104849	7432	2.0
8746041t8439	215	1.0
40048610t54385	399173	1.0
30551640t36540	1508	387.0
46983858t70826	72953	32.0
60788195t116147	294	2.0
14737879t15167	33981	6.0
18923849t20085	21084	1.0
6430243t5953	74930	2.0
54428836t93535	15807	3.0
11675558t11703	45	23.0
53789126t91577	2454	4.0
51085549t83338	2258	2.0
3004124t2620	16959	2.0
49808931t79476	11293	2.0
53038938t89167	368136	1.0
50486002t81487	78589	1.0
8284177t7957	9079	4.0
55407445t96623	16625	1.0
52321324t86916	3025	3.0
13203751t13417	12598	38.0
41071624t56451	15256	1.0
28639169t33507	8367	3.0
19911887t21337	99972	1.0
3356823t2953	2259	1.0
27156595t31249	3484	3.0
49687980t79049	3015	1.0
55156624t95814	66389	1.0
28561157t33381	22501	1.0
38006044t50251	3992	1.0
2508691t2172	32376	3.0
60066104t113153	451	131.0
38525907t51297	428	37.0
9105235t8837	113360	2.0
20559830t22155	2815	2.0
53730734t91387	88543	1.0
52486619t87410	37509	6.0
9441881t9230	7348	3.0
55254851t96138	5536	44.0
11616905t11634	12164	54.0
10557137t10491	69546	1.0
16272315t16904	62519	3.0
50151877t80492	157440	183.0
56679458t100643	6878	1.0
24463865t27434	46719	1.0
43200871t61329	33193	1.0
8286176t7958	3481	8.0
4218733t3728	266392	1.0
39626898t53561	9183	1.0
4417156t3926	31821	9.0
33378313t41639	57563	3.0
30840694t36995	4632	2.0
41424366t57187	11441	1.0
10504436t10445	1817	5.0
5232889t4750	4201	3.0
28495735t33285	54666	1.0
19774130t21146	324389	2.0
57260978t102617	13932	15.0
57900463t104827	4348	22.0
51405627t84295	14035	27.0
36713517t47813	66749	1.0
30994415t37262	128977	9.0
61424217t119382	18048	1.0
21308393t23126	9551	14.0
57367248t102986	112175	1.0
30562396t36556	93368	10.0
58318426t106253	17187	2.0
26239162t29900	107868	1.0
24147857t26989	7987	9.0
46409482t69246	3936	46.0
34768525t44208	153373	1.0
60241751t113904	24229	9.0
16356093t17005	16541	1.0
55629349t97372	53766	2.0
47644943t72634	45835	1.0
3824039t3372	191	54.0
58065632t105402	4410	5.0
22493300t24706	265	7.0
30889078t37084	214721	1.0
8326982t8010	29954	6.0
10127059t10009	75404	7.0
8914627t8626	3502	4.0
27706452t32082	9342	2.0
33413484t41704	242703	1.0
10388046t10302	16315	18.0
17369267t18209	8081	1.0
29002746t34041	188215	5.0
33818686t42430	2673	3.0
57198840t102399	265383	23.0
48968368t76615	64118	1.0
869630t706	430327	1.0
36973037t48292	112199	13.0
25409373t28751	16746	96.0
29737935t35212	10478	3.0
10083018t9964	55448	1.0
59805705t111992	141479	1.0
15371120t15901	8310	3.0
53847298t91755	42264	1.0
