rank	user	item	score	rating
1	1	629	1	
2	1	1058	1	
3	1	1262	1	
4	1	1091	1	
5	1	941	1	
6	1	1474	1	
7	1	1231	1	
8	1	1335	1	
9	1	496	1	
10	1	52	1	4.0
1	2	629	1	
2	2	1058	1	
3	2	1262	1	
4	2	1091	1	
5	2	941	1	
6	2	1474	1	
7	2	1231	1	
8	2	1335	1	
9	2	496	1	
10	2	52	1	
1	3	1426	1	
2	3	588	1	
3	3	735	1	
4	3	555	1	
5	3	122	1	
6	3	52	1	
7	3	924	1	
8	3	63	1	
9	3	638	1	
10	3	307	1	3.0
1	4	743	1	
2	4	705	1	
3	4	1465	1	
4	4	1659	1	
5	4	472	1	
6	4	393	1	
7	4	493	1	
8	4	278	1	
9	4	908	1	
10	4	667	1	
1	5	1574	1	
2	5	1065	1	
3	5	737	1	
4	5	279	1	
5	5	1614	1	
6	5	1258	1	
7	5	1034	1	
8	5	1510	1	
9	5	959	1	
10	5	83	1	
1	6	1426	1	
2	6	588	1	
3	6	735	1	
4	6	555	1	
5	6	122	1	
6	6	52	1	
7	6	924	1	
8	6	63	1	
9	6	638	1	
10	6	307	1	
1	7	1634	1	
2	7	17	1	
3	7	610	1	5.0
4	7	191	1	5.0
5	7	1088	1	
6	7	1572	1	
7	7	494	1	
8	7	1529	1	
9	7	1028	1	
10	7	142	1	3.0
1	8	209	1	
2	8	359	1	
3	8	1183	1	
4	8	928	1	
5	8	301	1	4.0
6	8	657	1	
7	8	312	1	
8	8	497	1	
9	8	1128	1	
10	8	1037	1	
1	9	743	1	
2	9	705	1	
3	9	1465	1	
4	9	1659	1	
5	9	472	1	
6	9	393	1	
7	9	493	1	
8	9	278	1	
9	9	908	1	
10	9	667	1	
1	10	1574	1	
2	10	1065	1	
3	10	737	1	
4	10	279	1	
5	10	1614	1	
6	10	1258	1	
7	10	1034	1	
8	10	1510	1	
9	10	959	1	
10	10	83	1	
1	11	260	1	1.0
2	11	764	1	
3	11	525	1	
4	11	1009	1	
5	11	934	1	
6	11	217	1	
7	11	705	1	
8	11	329	1	
9	11	1529	1	
10	11	617	1	
1	12	1634	1	
2	12	17	1	
3	12	610	1	
4	12	191	1	5.0
5	12	1088	1	
6	12	1572	1	
7	12	494	1	
8	12	1529	1	
9	12	1028	1	
10	12	142	1	
1	13	1550	1	
2	13	825	1	1.0
3	13	369	1	
4	13	229	1	4.0
5	13	1085	1	
6	13	213	1	
7	13	1394	1	
8	13	575	1	
9	13	636	1	2.0
10	13	798	1	2.0
1	14	209	1	
2	14	359	1	
3	14	1183	1	
4	14	928	1	
5	14	301	1	
6	14	657	1	
7	14	312	1	
8	14	497	1	
9	14	1128	1	
10	14	1037	1	
1	15	315	1	
2	15	240	1	
3	15	1435	1	
4	15	552	1	
5	15	1138	1	
6	15	238	1	
7	15	907	1	
8	15	720	1	
9	15	779	1	
10	15	769	1	
1	16	260	1	
2	16	764	1	
3	16	525	1	
4	16	1009	1	
5	16	934	1	
6	16	217	1	
7	16	705	1	5.0
8	16	329	1	
9	16	1529	1	
10	16	617	1	
1	17	1240	1	
2	17	949	1	
3	17	747	1	
4	17	1265	1	
5	17	1429	1	
6	17	1232	1	
7	17	96	1	
8	17	1229	1	
9	17	782	1	
10	17	820	1	
1	18	1550	1	
2	18	825	1	
3	18	369	1	
4	18	229	1	
5	18	1085	1	
6	18	213	1	5.0
7	18	1394	1	
8	18	575	1	
9	18	636	1	
10	18	798	1	
1	19	944	1	
2	19	470	1	
3	19	807	1	
4	19	18	1	
5	19	883	1	
6	19	352	1	
7	19	682	1	
8	19	1454	1	
9	19	729	1	
10	19	880	1	
1	20	315	1	
2	20	240	1	
3	20	1435	1	
4	20	552	1	
5	20	1138	1	
6	20	238	1	
7	20	907	1	
8	20	720	1	
9	20	779	1	
10	20	769	1	
1	21	564	1	3.0
2	21	888	1	
3	21	959	1	
4	21	1298	1	
5	21	998	1	
6	21	561	1	1.0
7	21	1556	1	
8	21	1682	1	
9	21	1510	1	
10	21	99	1	
1	22	1240	1	
2	22	949	1	
3	22	747	1	
4	22	1265	1	
5	22	1429	1	
6	22	1232	1	
7	22	96	1	5.0
8	22	1229	1	
9	22	782	1	
10	22	820	1	
1	23	1043	1	
2	23	973	1	
3	23	1145	1	
4	23	1212	1	
5	23	31	1	
6	23	638	1	
7	23	898	1	
8	23	529	1	
9	23	6	1	
10	23	363	1	
1	24	944	1	
2	24	470	1	
3	24	807	1	
4	24	18	1	
5	24	883	1	
6	24	352	1	
7	24	682	1	
8	24	1454	1	
9	24	729	1	5.0
10	24	880	1	
1	25	577	1	
2	25	777	1	
3	25	1680	1	
4	25	992	1	
5	25	1060	1	
6	25	738	1	
7	25	408	1	5.0
8	25	1361	1	
9	25	1056	1	
10	25	729	1	4.0
1	26	564	1	
2	26	888	1	
3	26	959	1	
4	26	1298	1	
5	26	998	1	
6	26	561	1	
7	26	1556	1	
8	26	1682	1	
9	26	1510	1	
10	26	99	1	
1	27	625	1	
2	27	395	1	
3	27	358	1	
4	27	1347	1	
5	27	185	1	
6	27	1219	1	
7	27	615	1	
8	27	962	1	
9	27	190	1	
10	27	1597	1	
1	28	1043	1	
2	28	973	1	
3	28	1145	1	
4	28	1212	1	
5	28	31	1	4.0
6	28	638	1	
7	28	898	1	
8	28	529	1	4.0
9	28	6	1	
10	28	363	1	
1	29	1121	1	
2	29	729	1	
3	29	955	1	
4	29	354	1	
5	29	416	1	
6	29	908	1	
7	29	1491	1	
8	29	780	1	
9	29	1628	1	
10	29	1434	1	
1	30	577	1	
2	30	777	1	
3	30	1680	1	
4	30	992	1	
5	30	1060	1	
6	30	738	1	
7	30	408	1	
8	30	1361	1	
9	30	1056	1	
10	30	729	1	
1	31	280	1	
2	31	980	1	
3	31	581	1	
4	31	100	1	
5	31	79	1	2.0
6	31	1239	1	
7	31	1584	1	
8	31	554	1	
9	31	1668	1	
10	31	1620	1	
1	32	625	1	
2	32	395	1	
3	32	358	1	
4	32	1347	1	
5	32	185	1	
6	32	1219	1	
7	32	615	1	
8	32	962	1	
9	32	190	1	
10	32	1597	1	
1	33	1676	1	
2	33	739	1	
3	33	1673	1	
4	33	716	1	
5	33	901	1	
6	33	666	1	
7	33	708	1	
8	33	1446	1	
9	33	327	1	
10	33	638	1	
1	34	1416	1	
2	34	925	1	
3	34	1602	1	
4	34	42	1	
5	34	987	1	
6	34	855	1	
7	34	1448	1	
8	34	649	1	
9	34	22	1	
10	34	76	1	
1	35	1121	1	
2	35	729	1	
3	35	955	1	
4	35	354	1	
5	35	416	1	
6	35	908	1	
7	35	1491	1	
8	35	780	1	
9	35	1628	1	
10	35	1434	1	
1	36	280	1	
2	36	980	1	
3	36	581	1	
4	36	100	1	
5	36	79	1	
6	36	1239	1	
7	36	1584	1	
8	36	554	1	
9	36	1668	1	
10	36	1620	1	
1	37	487	1	
2	37	1127	1	
3	37	1149	1	
4	37	620	1	
5	37	1226	1	
6	37	863	1	
7	37	1653	1	
8	37	423	1	
9	37	45	1	
10	37	1229	1	
1	38	1676	1	
2	38	739	1	
3	38	1673	1	
4	38	716	1	
5	38	901	1	
6	38	666	1	
7	38	708	1	
8	38	1446	1	
9	38	327	1	
10	38	638	1	
1	39	1579	1	
2	39	283	1	
3	39	180	1	
4	39	1289	1	
5	39	307	1	2.0
6	39	1100	1	
7	39	430	1	
8	39	1191	1	
9	39	458	1	
10	39	582	1	
1	40	1416	1	
2	40	925	1	
3	40	1602	1	
4	40	42	1	
5	40	987	1	
6	40	855	1	
7	40	1448	1	
8	40	649	1	
9	40	22	1	
10	40	76	1	
1	41	880	1	
2	41	330	1	
3	41	1459	1	
4	41	403	1	
5	41	857	1	
6	41	1015	1	
7	41	708	1	
8	41	405	1	
9	41	1271	1	
10	41	820	1	
1	42	487	1	
2	42	1127	1	
3	42	1149	1	
4	42	620	1	
5	42	1226	1	
6	42	863	1	
7	42	1653	1	
8	42	423	1	5.0
9	42	45	1	
10	42	1229	1	
1	43	1579	1	
2	43	283	1	2.0
3	43	180	1	
4	43	1289	1	
5	43	307	1	
6	43	1100	1	
7	43	430	1	
8	43	1191	1	
9	43	458	1	
10	43	582	1	
1	44	665	1	1.0
2	44	1044	1	
3	44	1339	1	
4	44	1673	1	
5	44	726	1	
6	44	1310	1	
7	44	762	1	
8	44	519	1	
9	44	1597	1	
10	44	1204	1	
1	45	880	1	
2	45	330	1	
3	45	1459	1	
4	45	403	1	
5	45	857	1	
6	45	1015	1	
7	45	708	1	
8	45	405	1	
9	45	1271	1	
10	45	820	1	4.0
1	46	665	1	
2	46	1044	1	
3	46	1339	1	
4	46	1673	1	
5	46	726	1	
6	46	1310	1	
7	46	762	1	
8	46	519	1	
9	46	1597	1	
10	46	1204	1	
1	47	1205	1	
2	47	487	1	
3	47	865	1	
4	47	1300	1	
5	47	1020	1	
6	47	1353	1	
7	47	1026	1	
8	47	664	1	
9	47	1458	1	
10	47	1036	1	
1	48	1205	1	
2	48	487	1	
3	48	865	1	
4	48	1300	1	
5	48	1020	1	
6	48	1353	1	
7	48	1026	1	
8	48	664	1	
9	48	1458	1	
10	48	1036	1	
1	49	850	1	
2	49	144	1	
3	49	599	1	
4	49	152	1	
5	49	1659	1	
6	49	1630	1	
7	49	916	1	
8	49	1075	1	2.0
9	49	444	1	
10	49	609	1	
1	50	850	1	
2	50	144	1	
3	50	599	1	
4	50	152	1	
5	50	1659	1	
6	50	1630	1	
7	50	916	1	
8	50	1075	1	
9	50	444	1	
10	50	609	1	
1	51	664	1	
2	51	259	1	
3	51	254	1	
4	51	666	1	
5	51	242	1	
6	51	613	1	
7	51	217	1	
8	51	1629	1	
9	51	1518	1	
10	51	1521	1	
1	52	664	1	
2	52	259	1	
3	52	254	1	
4	52	666	1	
5	52	242	1	
6	52	613	1	
7	52	217	1	
8	52	1629	1	
9	52	1518	1	
10	52	1521	1	
1	53	538	1	
