24809075	161251	6378	3.5	1260827640
18500443	119870	1162	5.0	969006354
19410488	126013	38538	4.0	1280593789
2873720	18998	6934	4.0	1510939421
23178578	150529	1221	4.0	1144788895
18233717	118076	6709	2.0	1213150671
1705170	11351	1233	5.0	1111711701
779392	5271	47	2.5	1541554550
20114933	130782	95441	4.0	1509656131
23526315	152725	903	5.0	1233532679
10652455	69166	541	3.5	1440837354
11808507	76561	106782	4.0	1472221262
5547446	35911	1303	4.0	1150793843
3153313	20778	115713	4.0	1477419110
20900087	135896	55269	4.0	1435103106
12427142	80461	1466	3.0	1146094313
5979718	38745	233	4.0	1047907669
10155920	65869	55805	4.0	1349529935
24821324	161354	1031	3.5	1124408336
10150626	65839	84954	4.0	1504812720
6104144	39578	1240	3.0	891470169
14699879	95117	1148	3.5	1464810198
4725210	30879	64030	3.5	1462783966
22506776	146320	266	5.0	836573373
21706625	141120	1732	4.0	1567015745
20441665	132888	88129	3.0	1483756133
4553283	29850	733	4.0	1446285835
13333723	86271	661	3.0	837841829
12397679	80265	68791	2.5	1363889969
7795853	50646	2791	5.0	949464343
2558148	17048	172	2.0	1046786063
3614270	23850	3623	3.0	1078884851
20400877	132651	5218	2.5	1291140627
9287648	60510	56174	2.0	1512165825
21796491	141704	7	2.0	865742453
17948556	116311	2671	4.5	1141320842
12971530	83998	52952	2.5	1573184662
24381090	158413	1253	4.0	945833670
24660777	160256	7003	3.0	1307167579
9367542	60971	1220	4.5	1536967413
19771541	128452	3578	4.0	1573337121
16247982	105351	3751	5.0	980532089
24288950	157853	33794	3.5	1175715416
5831373	37763	3174	4.0	965835563
4066454	26742	3755	3.0	1275353379
1542949	10336	4255	1.0	1046635900
17611203	114169	5444	5.0	1164146912
18189736	117798	161	4.5	1456123943
22968775	149202	79132	4.5	1365444585
19555660	126998	1641	4.0	1225314102
2373863	15792	32587	4.0	1232626270
17462711	113150	129739	4.0	1453297660
1238409	8369	77837	3.5	1292748270
23239412	150892	55820	4.0	1554493076
9936429	64464	1061	3.0	1302745543
5931384	38446	80864	3.0	1432130150
7268362	47133	780	3.0	861972336
8130591	52921	1235	5.0	939469653
7845031	50963	47	5.0	845343195
21382464	138990	192257	4.0	1539414116
8175394	53185	8961	4.0	1140378665
5852569	37916	5989	4.0	1124140456
16150033	104719	3015	4.0	945804179
7181045	46558	368	3.0	947121380
7887590	51238	4207	3.0	1029040952
19570582	127095	802	4.0	854434954
6175300	39983	1921	4.5	1311539279
22399283	145633	4226	4.5	1304307602
9986947	64809	3361	4.0	965333934
16976238	110086	2000	4.0	1054828040
24137375	156856	457	3.5	1062069645
20014698	130124	4356	2.0	1220540216
10572311	68613	4878	2.5	1535749934
4897612	31944	1347	4.5	1120260303
21998834	143018	2609	4.0	1046877830
10589467	68721	3005	4.0	965069936
18860279	122254	99007	3.0	1570571730
15862114	102808	2728	4.0	1040265790
18095325	117220	4019	4.0	1058732274
13037956	84431	2571	4.0	1536687976
476405	3266	191	1.0	986021094
8240864	53647	1967	5.0	965321516
3603787	23763	180297	3.0	1543875398
16339914	105963	1784	4.0	1094053991
18875145	122385	40815	4.0	1535600495
15533675	100587	53993	1.0	1526519971
21863119	142153	3020	3.0	1044604766
14859052	96265	2872	3.0	953588821
1487402	9940	65685	4.0	1470106817
13398191	86654	101428	2.5	1371499730
4913780	32063	49822	3.5	1487482188
4975943	32418	52281	5.0	1548842618
5658272	36646	68205	3.0	1388329718
8467318	55148	5152	3.0	1099261041
15975628	103590	4492	4.5	1068690329
1701425	11325	1210	4.0	1094251467
803152	5409	1203	5.0	1378323735
20714860	134661	2710	4.0	1017979507
2777233	18434	4489	3.5	1354225911
11166305	72372	185	1.5	1452273784
4602283	30111	54286	4.0	1470599137
10151010	65841	2109	1.5	1127177226
